주키 값,대표제목,대체제목,작성자,편찬자,발신자,주제,자료유형,식별자,발행자,발행일,생성일,갱신일,원자료 발행일,원자료 생성일,사건 발생일,초록,목차정보,파일형식,부분자료,의존자료,단위,파일경로,메타데이터센터명
"COMMT00414","다부동 369고지 유류품 : TT권총탄","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00414","","20041018","20041110","20041004","","20041019","","● 시대 : 현대
● 유형 : 총탄
● 제원 : 길이 45mm, 지름 8.45mm, 제작국 소련
● 재질 : 금속
● 참고문헌 : 한국전쟁사 제1권, 6.25전사자 유해발굴보고서","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0414.jpg","WMK"
"COMMT00415","다부동 369고지 유류품 : 카빈용 대검/집","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00415","","20041018","20041110","20041004","","20041019","","● 시대 : 현대
● 유형 : 대검/대검집
● 제원 : 길이 55.7cm(대검)/ 35.5cm(대검집), 너비 50mm(대검)/ 55mm(대검집), 두께 1.5~2.5mm(대검)/ 7.8mm(대검집), 무게 1,050g(대검)/ 350g(대검집), 제작국 미국
● 재질 : 금속, 합성 수지, 합성 섬유
● 참고문헌 : 한국전쟁사 제1권, 6.25전사자 유해발굴보고서","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0415.jpg","WMK"
"COMMT00416","다부동 369고지 유류품 : 81밀리 포탄 꼬리날개","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00416","","20041018","20041110","20041004","","20041019","","● 시대 : 현대
● 유형 : 포탄 부품
● 제원 : 지름 60mm, 두께 3.25mm, 무게 360g, 제작국 미국
● 재질 : 금속
● 참고문헌 : 한국전쟁사 제1권, 6.25전사자 유해발굴보고서","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0416.jpg","WMK"
"COMMT00417","다부동 369고지 유류품 : 북한군 군모장","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00417","","20041018","20041110","20041004","","20041019","","","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0417.jpg","WMK"
"COMMT00418","전단(傳單) : ""인민군 장병들이여 아는가!""","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00418","","20041018","20041110","20041004","","20041019","","● 영문 : Leaflet
● 시대 : 현대
● 유형 : 전단
● 제원 : 가로 길이 126~278mm, 세로 길이 123~200mm, 제작국 대한민국
● 재질 : 종이
● 참고문헌 : 한국 전쟁사 제3권","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0418.jpg","WMK"
"COMMT00419","다부동 369고지 유류품 : 장약","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00419","","20041018","20041110","20041004","","20041019","","● 시대 : 현대
● 유형 : 화약
● 제원 : 지름 80mm, 길이 240mm
● 재질 : 흑색 화약
● 참고문헌 : 한국전쟁사 제1권, 6.25전사자 유해발굴보고서","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0419.jpg","WMK"
"COMMT00420","다부동 369고지 유류품 : 단추","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00420","","20041018","20041110","20041004","","20041019","","● 시대 : 현대
● 유형 : 단추
● 제원 : 지름 10mm
● 재질 : 플라스틱
● 참고문헌 : 한국전쟁사 제1권, 6.25전사자 유해발굴보고서","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0420.jpg","WMK"
"COMMT00421","다부동 369고지 유류품 : 꼬질대","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00421","","20041018","20041110","20041004","","20041019","","● 시대 : 현대
● 유형 : 꼬질대
● 제원 : 지름 7mm, 길이 750mm
● 재질 : 금속
● 참고문헌 : 한국전쟁사 제1권, 6.25전사자 유해발굴보고서","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0421.jpg","WMK"
"COMMT00422","다부동 369고지 유류품 : 드릴날","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00422","","20041018","20041110","20041004","","20041019","","● 시대 : 현대
● 유형 : 공구
● 제원 : 지름 10mm, 길이 120mm
● 재질 : 금속
● 참고문헌 : 한국전쟁사 제1권, 6.25전사자 유해발굴보고서","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0422.jpg","WMK"
"COMMT00423","다부동 369고지 유류품 : 만년필","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00423","","20041018","20041110","20041004","","20041019","","● 시대 : 현대
● 유형 : 필기구
● 제원 : 지름 10mm, 길이 220mm
● 재질 : 금속
● 참고문헌 : 한국전쟁사 제1권, 6.25전사자 유해발굴보고서","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0423.jpg","WMK"
